class,return,rb_count,resid_diff,out_multiple,rebalance_weight
att,387.5736199108116,55,20,0.4,0.4
neu,262.71282364511535,69,20,0.4,0.4
deff,229.95275586509672,70,20,0.4,0.4
att,385.50786582508124,55,20,0.4,0.5
neu,254.6890048086169,69,20,0.4,0.5
deff,222.3190694126136,70,20,0.4,0.5
att,379.8444370902042,55,20,0.4,0.6
neu,246.19948850717577,69,20,0.4,0.6
deff,215.0434636619576,70,20,0.4,0.6
att,371.9017980074897,55,20,0.4,0.7
neu,237.32379583320645,69,20,0.4,0.7
deff,208.31491246252128,70,20,0.4,0.7
att,362.87951400680504,55,20,0.4,0.8
neu,228.15925621671505,69,20,0.4,0.8
deff,202.12236507730387,70,20,0.4,0.8
att,353.8847812521936,55,20,0.4,0.9
neu,218.83559321174693,69,20,0.4,0.9
deff,196.34753663911792,70,20,0.4,0.9
att,371.23015873069676,39,20,0.5,0.1
neu,296.6999990878114,56,20,0.5,0.1
deff,235.35357118110576,66,20,0.5,0.1
att,401.18466184787593,39,20,0.5,0.2
neu,301.95631043348413,56,20,0.5,0.2
deff,223.86339059743864,66,20,0.5,0.2
att,426.54503476075985,39,20,0.5,0.3
neu,304.1663798377033,56,20,0.5,0.3
deff,214.36607257966963,66,20,0.5,0.3
att,446.7879049554802,39,20,0.5,0.4
neu,303.020913189888,56,20,0.5,0.4
deff,206.38759897680222,66,20,0.5,0.4
att,461.6485645607948,39,20,0.5,0.5
neu,298.53366994638486,56,20,0.5,0.5
deff,199.52066214628266,66,20,0.5,0.5
att,471.024909508323,39,20,0.5,0.6
neu,290.9548854719159,56,20,0.5,0.6
deff,193.38880093927327,66,20,0.5,0.6
att,475.06702888994243,39,20,0.5,0.7
neu,280.70333781261473,56,20,0.5,0.7
deff,187.77968326721066,66,20,0.5,0.7
att,474.04351413583834,39,20,0.5,0.8
neu,268.28054166059445,56,20,0.5,0.8
deff,182.5065552953724,66,20,0.5,0.8
att,468.3727731479639,39,20,0.5,0.9
neu,254.2876716206549,56,20,0.5,0.9
deff,177.40719854335865,66,20,0.5,0.9
att,363.8506493271826,28,20,0.6,0.1
neu,295.7149691155441,45,20,0.6,0.1
deff,240.78343914194042,57,20,0.6,0.1
att,388.8482619349477,28,20,0.6,0.2
neu,302.5627932853699,45,20,0.6,0.2
deff,234.7537896348958,57,20,0.6,0.2
att,413.1513407616599,28,20,0.6,0.3
neu,309.60626996822265,45,20,0.6,0.3
deff,229.87404914188372,57,20,0.6,0.3
att,436.48790272025894,28,20,0.6,0.4
neu,316.1961946020127,45,20,0.6,0.4
deff,225.07024950923852,57,20,0.6,0.4
att,458.6020640010813,28,20,0.6,0.5
neu,321.68594335022016,45,20,0.6,0.5
deff,219.76991803731977,57,20,0.6,0.5
att,479.2683425528542,28,20,0.6,0.6
neu,325.61547094716906,45,20,0.6,0.6
deff,213.81605801839763,57,20,0.6,0.6
att,498.3067833387336,28,20,0.6,0.7
neu,327.61488800468464,45,20,0.6,0.7
deff,207.2145692343699,57,20,0.6,0.7
att,515.5611170917517,28,20,0.6,0.8
neu,327.50156358861943,45,20,0.6,0.8
deff,200.08454588499026,57,20,0.6,0.8
att,530.8952672101966,28,20,0.6,0.9
neu,325.1992483075169,45,20,0.6,0.9
deff,192.61588723802546,57,20,0.6,0.9
att,366.65223893575705,20,20,0.8,0.1
neu,300.6314443441387,25,20,0.8,0.1
deff,249.32694380617195,34,20,0.8,0.1
att,394.62635468702064,20,20,0.8,0.2
neu,311.40211825904817,25,20,0.8,0.2
deff,247.29248443508132,34,20,0.8,0.2
att,423.14124015035594,20,20,0.8,0.3
neu,321.9675275016789,25,20,0.8,0.3
deff,246.1458177190787,34,20,0.8,0.3
att,452.08020301885495,20,20,0.8,0.4
neu,332.338674726868,25,20,0.8,0.4
deff,245.9265796261798,34,20,0.8,0.4
att,481.26730044012015,20,20,0.8,0.5
neu,342.487174806975,25,20,0.8,0.5
deff,246.6285627291676,34,20,0.8,0.5
att,510.633131339073,20,20,0.8,0.6
neu,352.40939565696857,25,20,0.8,0.6
deff,248.3019266656864,34,20,0.8,0.6
att,539.9243960033378,20,20,0.8,0.7
neu,362.0303617568979,25,20,0.8,0.7
deff,250.9318911354065,34,20,0.8,0.7
att,569.0066261707292,20,20,0.8,0.8
neu,371.3939912609101,25,20,0.8,0.8
deff,254.55081834297297,34,20,0.8,0.8
att,597.6417729171717,20,20,0.8,0.9
neu,380.3903670190812,25,20,0.8,0.9
deff,259.1732197628032,34,20,0.8,0.9
att,366.0860181011194,19,20,0.9,0.1
neu,305.4179836296093,19,20,0.9,0.1
deff,253.6775029309277,24,20,0.9,0.1
att,390.50145250644596,19,20,0.9,0.2
neu,319.81645504074123,19,20,0.9,0.2
deff,256.0119473189352,24,20,0.9,0.2
att,413.00902622375185,19,20,0.9,0.3
neu,333.38551212549277,19,20,0.9,0.3
deff,257.6586418743142,24,20,0.9,0.3
att,433.33610907020363,19,20,0.9,0.4
neu,346.17015270462196,19,20,0.9,0.4
deff,258.64540016441396,24,20,0.9,0.4
att,451.26733003062964,19,20,0.9,0.5
neu,358.14981648902796,19,20,0.9,0.5
deff,259.00165995645483,24,20,0.9,0.5
att,466.6512441658001,19,20,0.9,0.6
neu,369.37112719497736,19,20,0.9,0.6
deff,258.7955571100242,24,20,0.9,0.6
att,479.2961893091211,19,20,0.9,0.7
neu,379.91281064291064,19,20,0.9,0.7
deff,258.0893274943346,24,20,0.9,0.7
att,489.1021751390446,19,20,0.9,0.8
neu,389.84839683399366,19,20,0.9,0.8
deff,256.91122283811524,24,20,0.9,0.8
att,495.95373417510814,19,20,0.9,0.9
neu,399.2585729885114,19,20,0.9,0.9
deff,255.3199267787936,24,20,0.9,0.9
